year,reporterCode,reporter,partnerCode,partner,value,flowCode,commodityCode
2017,4,Afghanistan,16,American Samoa,6688295.97,M,
2017,124,Canada,16,American Samoa,28514.049,X,
2017,288,Ghana,16,American Samoa,16426.955,M,
2017,392,Japan,16,American Samoa,1006597.579,X,
2017,410,"Korea, Republic of",16,American Samoa,1240279.0,X,
2017,554,New Zealand,16,American Samoa,18519.846,X,
2017,566,Nigeria,16,American Samoa,2314.849,M,
2017,784,United Arab Emirates,16,American Samoa,67976.019,M,
2017,4,Afghanistan,124,Canada,16204098.64,M,
2017,8,Albania,124,Canada,4075063.971,M,
2017,12,Algeria,124,Canada,56102.8,M,
2017,20,Andorra,124,Canada,202665.797,M,
2017,24,Angola,124,Canada,1114875.99,M,
2017,28,Antigua and Barbuda,124,Canada,118753.163,M,
2017,31,Azerbaijan,124,Canada,308100.0,M,
2017,31,Azerbaijan,124,Canada,10000.0,X,
2017,32,Argentina,124,Canada,516604.84,M,
2017,36,Australia,124,Canada,10797541.766,M,
2017,36,Australia,124,Canada,578626.226,X,
2017,40,Austria,124,Canada,12435650.943,M,
2017,40,Austria,124,Canada,85165888.227,X,
2017,44,Bahamas,124,Canada,345318.38,M,
2017,44,Bahamas,124,Canada,2500.0,X,
2017,48,Bahrain,124,Canada,4088607.493,M,
2017,51,Armenia,124,Canada,80428.94,M,
2017,52,Barbados,124,Canada,48757.0,M,
2017,52,Barbados,124,Canada,40000.0,X,
2017,56,Belgium,124,Canada,21748913.56,M,
2017,56,Belgium,124,Canada,42663151.304,X,
2017,68,Bolivia (Plurinational State of),124,Canada,11976462.04,M,
2017,68,Bolivia (Plurinational State of),124,Canada,7200.0,X,
2017,70,Bosnia and Herzegovina,124,Canada,61421.2,M,
2017,70,Bosnia and Herzegovina,124,Canada,1131.33,X,
2017,72,Botswana,124,Canada,7073.334,M,
2017,76,Brazil,124,Canada,4237336.0,M,
2017,76,Brazil,124,Canada,42082.0,X,
2017,84,Belize,124,Canada,400039.675,M,
2017,84,Belize,124,Canada,6052.5,X,
2017,96,Brunei Darussalam,124,Canada,866.839,X,
2017,100,Bulgaria,124,Canada,1263525.562,M,
2017,104,Myanmar,124,Canada,274750.0,M,
2017,108,Burundi,124,Canada,130314.52,M,
2017,112,Belarus,124,Canada,260100.0,M,
2017,116,Cambodia,124,Canada,15888499.39,M,
2017,120,Cameroon,124,Canada,304446.332,M,
2017,124,Canada,124,Canada,8477792.787,M,
2017,144,Sri Lanka,124,Canada,40795.678,M,
2017,152,Chile,124,Canada,42911623.784,M,
2017,152,Chile,124,Canada,24126.0,X,
2017,156,China,124,Canada,401018263.0,M,
2017,156,China,124,Canada,94718058.0,X,
2017,170,Colombia,124,Canada,23042443.07,M,
2017,170,Colombia,124,Canada,37871.08,X,
2017,174,Comoros,124,Canada,31075.76,M,
2017,178,Congo,124,Canada,456514.446,M,
2017,180,"Congo, Dem. Rep. of the",124,Canada,1124237.978,M,
2017,188,Costa Rica,124,Canada,4303716.158,M,
2017,188,Costa Rica,124,Canada,10656.278,X,
2017,191,Croatia,124,Canada,146160.0,M,
2017,192,Cuba,124,Canada,860861.6,M,
2017,196,Cyprus,124,Canada,3113.401,M,
2017,203,Czechia,124,Canada,8205227.0,M,
2017,203,Czechia,124,Canada,9015.0,X,
2017,204,Benin,124,Canada,806409.287,M,
2017,208,Denmark,124,Canada,9930.54,M,
2017,208,Denmark,124,Canada,13964.456,X,
2017,212,Dominica,124,Canada,2697.79,M,
2017,214,Dominican Republic,124,Canada,34143297.146,M,
2017,214,Dominican Republic,124,Canada,72907.0,X,
2017,218,Ecuador,124,Canada,6891939.82,M,
2017,222,El Salvador,124,Canada,12276141.73,M,
2017,231,Ethiopia,124,Canada,141945.891,M,
2017,233,Estonia,124,Canada,956675.038,M,
2017,233,Estonia,124,Canada,2035.069,X,
2017,242,Fiji,124,Canada,8798.028,X,
2017,246,Finland,124,Canada,47477067.517,M,
2017,246,Finland,124,Canada,44198861.1,X,
2017,251,France,124,Canada,51641812.938,M,
2017,251,France,124,Canada,65529256.293,X,
2017,258,French Polynesia,124,Canada,113409.409,M,
2017,258,French Polynesia,124,Canada,7573.27,X,
2017,266,Gabon,124,Canada,9325.552,M,
2017,268,Georgia,124,Canada,1419080.5,M,
2017,270,Gambia,124,Canada,237436.569,M,
2017,275,State of Palestine,124,Canada,259746.383,M,
2017,276,Germany,124,Canada,267471171.424,M,
2017,276,Germany,124,Canada,3018423222.039,X,
2017,288,Ghana,124,Canada,88624229.252,M,
2017,300,Greece,124,Canada,399.822,M,
2017,304,Greenland,124,Canada,791729.68,M,
2017,308,Grenada,124,Canada,181875.003,M,
2017,320,Guatemala,124,Canada,3538453.0,M,
2017,320,Guatemala,124,Canada,38055.0,X,
2017,328,Guyana,124,Canada,517102.755,M,
2017,340,Honduras,124,Canada,10535836.51,M,
2017,344,"China, Hong Kong SAR",124,Canada,6641561.742,M,
2017,344,"China, Hong Kong SAR",124,Canada,177522.868,X,
2017,348,Hungary,124,Canada,245067.0,M,
2017,348,Hungary,124,Canada,75150347.0,X,
2017,352,Iceland,124,Canada,2102943.41,M,
2017,360,Indonesia,124,Canada,2000.0,X,
2017,364,Iran (Islamic Republic of),124,Canada,211800.0,M,
2017,372,Ireland,124,Canada,23082.772,M,
2017,372,Ireland,124,Canada,13556.172,X,
2017,376,Israel,124,Canada,12909000.0,M,
2017,380,Italy,124,Canada,1180072.323,M,
2017,380,Italy,124,Canada,235443389.636,X,
2017,384,Côte d'Ivoire,124,Canada,481610.459,M,
2017,388,Jamaica,124,Canada,2539890.12,M,
2017,388,Jamaica,124,Canada,10047.18,X,
2017,392,Japan,124,Canada,20497907.586,M,
2017,392,Japan,124,Canada,3259034309.891,X,
2017,398,Kazakhstan,124,Canada,1053678.47,M,
2017,400,Jordan,124,Canada,9964427.445,M,
2017,400,Jordan,124,Canada,206845.114,X,
2017,410,"Korea, Republic of",124,Canada,30080716.0,M,
2017,410,"Korea, Republic of",124,Canada,2134785061.0,X,
2017,414,Kuwait,124,Canada,80907471.031,M,
2017,414,Kuwait,124,Canada,7879.976,X,
2017,422,Lebanon,124,Canada,64552313.16,M,
2017,422,Lebanon,124,Canada,29036.156,X,
2017,428,Latvia,124,Canada,445566.618,M,
2017,428,Latvia,124,Canada,169867.74,X,
2017,434,Libya,124,Canada,6907571.223,M,
2017,440,Lithuania,124,Canada,2493899.0,M,
2017,440,Lithuania,124,Canada,2409.0,X,
2017,442,Luxembourg,124,Canada,1340354.102,M,
2017,450,Madagascar,124,Canada,744215.088,M,
2017,454,Malawi,124,Canada,9770.176,M,
2017,458,Malaysia,124,Canada,9762.688,X,
2017,466,Mali,124,Canada,174021.949,M,
2017,478,Mauritania,124,Canada,539960.587,M,
2017,484,Mexico,124,Canada,372461213.0,M,
2017,484,Mexico,124,Canada,1886175683.0,X,
2017,496,Mongolia,124,Canada,705811.52,M,
2017,498,"Moldova, Republic of",124,Canada,122784.0,M,
2017,499,Montenegro,124,Canada,66515.776,M,
2017,499,Montenegro,124,Canada,11330.074,X,
2017,504,Morocco,124,Canada,301335.261,M,
2017,504,Morocco,124,Canada,33410.459,X,
2017,508,Mozambique,124,Canada,105667.682,M,
2017,516,Namibia,124,Canada,7564.165,X,
2017,528,Netherlands,124,Canada,15919394.217,M,
2017,528,Netherlands,124,Canada,71129193.354,X,
2017,554,New Zealand,124,Canada,1320783.419,M,
2017,554,New Zealand,124,Canada,36177.098,X,
2017,558,Nicaragua,124,Canada,2579847.01,M,
2017,562,Niger,124,Canada,9771.172,M,
2017,566,Nigeria,124,Canada,24103467.521,M,
2017,579,Norway,124,Canada,30347715.992,M,
2017,591,Panama,124,Canada,8483251.0,M,
2017,600,Paraguay,124,Canada,369066.0,M,
2017,604,Peru,124,Canada,3518633.35,M,
2017,608,Philippines,124,Canada,5166641.0,M,
2017,608,Philippines,124,Canada,4000.0,X,
2017,616,Poland,124,Canada,2604190.0,M,
2017,616,Poland,124,Canada,90423.0,X,
2017,620,Portugal,124,Canada,46626.689,M,
2017,620,Portugal,124,Canada,94840.743,X,
2017,634,Qatar,124,Canada,9502914.28,M,
2017,634,Qatar,124,Canada,24725.25,X,
2017,642,Romania,124,Canada,511353.48,M,
2017,642,Romania,124,Canada,54849.34,X,
2017,643,Russian Federation,124,Canada,13002407.66,M,
2017,643,Russian Federation,124,Canada,244700.0,X,
2017,646,Rwanda,124,Canada,549852.442,M,
2017,659,Saint Kitts and Nevis,124,Canada,153277.706,M,
2017,662,Saint Lucia,124,Canada,228586.994,M,
2017,662,Saint Lucia,124,Canada,18518.53,X,
2017,670,Saint Vincent and the Grenadines,124,Canada,197181.803,M,
2017,682,Saudi Arabia,124,Canada,240056901.28,M,
2017,682,Saudi Arabia,124,Canada,71200.017,X,
2017,686,Senegal,124,Canada,8054436.819,M,
2017,686,Senegal,124,Canada,4824.982,X,
2017,688,Serbia,124,Canada,257864.0,M,
2017,694,Sierra Leone,124,Canada,45959.379,M,
2017,699,India,124,Canada,2864.533,M,
2017,699,India,124,Canada,34516822.809,X,
2017,703,Slovakia,124,Canada,1824622.342,M,
2017,703,Slovakia,124,Canada,204118336.461,X,
2017,704,Viet Nam,124,Canada,1806468.5,M,
2017,704,Viet Nam,124,Canada,20000.0,X,
